STATE_CODE,SHRP_ID,YEAR,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,MRI_BEFORE,MRI_AFTER,MAINTENANCE,DAYS_SINCE_MAINTENANCE,Added_Thickness,AADTT
5,3071,1994,8,149.9,False,True,False,416.6,0.7056999981403351,0.7966999948024749,Slurry Seal Coat,147,10.2,7557
5,A320,1990,4,142.3,False,True,False,409.0,0.6879999995231628,0.8822999954223634,Slurry Seal Coat,140,5.1,3289
5,A350,1990,4,142.3,False,True,False,409.0,0.6157999992370605,0.753600001335144,Aggregate Seal Coat,141,5.1,3289
6,0501,1992,27,121.9,False,True,False,670.5,3.889400005340576,1.123099970817566,Hot-Mix Recycled Asphalt Concrete Overlay,345,58.4,26417
6,0501,1999,34,180.3,False,True,False,728.9000000000001,1.7331000208854674,1.915400004386902,Crack Sealing,2,-0.0,40890
6,0501,2000,35,180.3,False,True,False,728.9,1.915400004386902,1.40239999294281,"Surface Treatment, Single Layer",222,7.6,43434
6,0502,1992,27,129.5,False,True,False,706.0999999999999,3.13270001411438,0.95349999666214,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,345,61.0,26417
6,0502,1999,34,190.5,False,True,False,767.0999999999999,1.9764999866485595,2.286999988555908,Crack Sealing,2,0.0,40890
6,0502,2000,35,190.5,False,True,False,767.0999999999999,2.286999988555908,1.312000000476837,"Surface Treatment, Single Layer",222,5.1,43434
6,0503,1992,27,124.5,False,True,False,790.0,1.7775000095367433,1.0788999915122988,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,345,116.8,26417
6,0503,1998,33,241.3,False,True,False,906.8,1.126099991798401,1.1972999930381776,"Patch Pot Holes - Hand Spread, Compacted with Truck",185,0.0,38479
6,0503,2000,35,241.3,False,True,False,906.8,1.333899974822998,1.0434000015258789,"Surface Treatment, Single Layer",222,5.1,43434
6,0504,1992,27,127.0,False,True,False,790.0,1.889200007915497,1.02389999628067,Mill Off AC and Overlay with AC ,345,83.8,26417
6,0504,2002,37,210.8,False,True,False,873.8,1.1981000065803529,1.2447999954223632,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),124,0.0,48692
