STATE_CODE,SHRP_ID,CONSTRUCTION_NO_AFTER,CONSTRUCTION_NO_BEFORE,MRI_BEFORE,MRI_BEFORE_DATE,MRI_AFTER,MRI_AFTER_DATE,CN_ASSIGN_DATE,MAINTENANCE,DAYS_SINCE_MAINTENANCE,YEAR,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,Added_Thickness,CONSTRUCTION_NO,AADTT,AGE
12,B360,2,1,0.8598000049591065,1990-06-20,1.4842999935150147,1991-07-03,1991-02-19,Asphalt Concrete Overlay,134,1990,76.2,False,False,False,751.8000000000001,40.6,1,8639,16
12,C310,2,1,1.8319000005722048,1990-07-16,0.9187999963760376,1991-07-04,1990-11-19,Asphalt Concrete Overlay,227,1990,30.5,False,False,False,254.0,35.6,1,4706,20
12,C320,2,1,1.879200005531311,1990-07-16,1.260900008678436,1991-07-05,1990-08-17,Slurry Seal Coat,322,1990,35.6,False,False,False,259.1,5.1,1,4706,20
12,C321,2,1,1.0098999857902526,1990-07-16,1.1634999990463255,1991-07-05,1991-04-18,Slurry Seal Coat,78,1990,33.0,False,False,False,256.5,10.2,1,4706,20
12,C321,3,2,1.0062999844551086,1992-07-21,1.2411999940872191,1994-09-05,1994-05-15,"Patch Pot Holes - Hand Spread, Compacted with Truck",113,1992,43.2,False,False,False,266.7,0.0,2,4892,22
12,C330,2,1,1.254700005054474,1990-07-16,1.3212999939918515,1991-07-05,1990-08-16,Crack Sealing,323,1990,33.0,False,False,False,256.5,0.0,1,4706,20
12,C330,3,2,1.3212999939918515,1991-07-05,1.2442999958992005,1992-07-21,1992-05-15,"Patch Pot Holes - Hand Spread, Compacted with Truck",67,1991,33.0,False,False,False,256.5,0.0,2,4788,21
12,C330,4,3,1.2442999958992005,1992-07-21,1.379100000858307,1994-09-05,1994-05-15,"Patch Pot Holes - Hand Spread, Compacted with Truck",113,1992,33.0,False,False,False,256.5,0.0,3,4892,22
12,C350,2,1,1.0928000152111053,1990-07-16,1.2580999970436095,1991-07-05,1990-08-17,Aggregate Seal Coat,322,1990,33.0,False,False,False,256.5,7.6,1,4706,20
13,1001,2,1,0.8022000074386597,1990-08-07,0.8197000026702881,1992-05-22,1991-06-15,AC Shoulder Replacement,342,1990,205.7,False,False,False,424.1,0.0,1,1988,4
13,1031,2,1,0.9898999989032744,1994-05-06,1.4461176500600923,1996-05-30,1995-09-15,Crack Sealing,258,1994,284.5,False,False,False,508.0,0.0,1,2236,13
13,1031,3,2,1.4461176500600923,1996-05-30,0.589050006866455,1997-08-24,1997-05-31,"Grinding Surface, Surface Treatment, Single Layer",85,1996,284.5,False,False,False,508.0,2.6,2,2825,15
